id,word,symbol,class,meaning,example,level
228,unusual,/ʌnˈjuːʒuəl/,,adj. 异乎寻常的,It is unusual to see a rainbow in the sky on a sunny day.（2022 上海中考）,80+
229,view,/vjuː/,,n. 风景；观点,We can have a good view of the Bund from the top of this building.（2023 上海中考）,80+
230,westward,/ˈwestwəd/,,adv. 向西方,The ship sailed westward across the sea to the other country.（2024 上海中考模拟）,80+
231,academic,/ˌækəˈdemɪk/,,n.大学教师,He hopes to get a good academic result in the final exam this term.（2024 上海中考）,80+
232,betray,/bɪˈtreɪ/,,v. 背叛；辜负,You should never betray your friends who trust you a lot.（2024 上海中考模拟）,80+
233,centigrade,/ˈsentɪɡreɪd/,,adj. 摄氏的,The temperature today is 25 centigrade and it is very comfortable.（2021 上海中考）,80+
234,defend,/dɪˈfend/,,v. 保卫；防御,We should defend our motherland when it is in danger.（2023 上海中考）,80+
235,electricity,/ɪˌlekˈtrɪsəti/,,n. 电，电学，电流,We use electricity to light the room and run the machine every day.（2022 上海中考）,80+
236,figure,/ˈfɪɡə(r)/,,n. 数字；形象,I can't figure out the answer to this math problem by myself.（2024 上海中考）,80+
237,govern,/ˈɡʌv(ə)n/,,v. 统治；支配,The city is governed by the local government in Shanghai.（2024 上海中考模拟）,80+
238,influence,/ˈɪnfluəns/,,n. & v. 影响,The teacher has a great influence on the students in his class.（2021 上海中考）,80+
239,litter,/ˈlɪtə(r)/,,n. 乱扔的东西,Please don't litter the rubbish everywhere in the park or on the street.（2022 上海中考）,80+
240,mature,/məˈtʃʊə(r)/,,adj.成熟的慎重的,He has become more mature after going through the difficult things.（2023 上海中考）,80+
241,nutrition,/njuˈtrɪʃ(ə)n/,,n. 营养（物）,Eating more food with nutrition is good for our body growth.（2024 上海中考）,80+
242,operation,/ˌɒpəˈreɪʃ(ə)n/,,n. 手术；操作,The doctor performed an important operation on the sick child yesterday.（2024 上海中考模拟）,80+
243,passer-by,/ˌpɑːsə ˈbaɪ/,,n. 过路人,A passer-by helped the little girl find her mother in the busy street.（2021 上海中考）,80+
244,receptionist,/rɪˈsepʃənɪst/,,n. 接待员,The receptionist at the hotel greeted us warmly when we arrived there.（2024 上海中考模拟）,80+
245,scream,/skriːm/,,v. 尖叫,She couldn't help but scream when she saw the small snake on the road.（2022 上海中考模拟）,80+
246,tense,/tens/,,adj.紧张的v.拉紧,He felt very tense before the English speech contest started.（2023 上海中考模拟）,80+
247,universal,/ˌjuːnɪˈvɜːs(ə)l/,,adj. 宇宙的；,Music is a universal language that people all over the world can understand.（2024 上海中考）,80+
248,violence,/ˈvaɪələns/,,n. 暴力；剧烈,We should say no to violence and live in peace with each other.（2021 上海中考模拟）,80+
249,whatever,/wɒtˈevə(r)/,,pron. 无论什么,You can choose whatever book you like from the library to read.（2022 上海中考）,80+
250,accelerate,/əkˈseləreɪt/,,vt. 加速；促进,We need to accelerate our speed to finish the work before the deadline.（2024 上海中考模拟）,80+
251,beyond,/bɪˈjɒnd/,,prep. & adv. 超越；,The beauty of the scenery is far beyond what I can describe in words.（2023 上海中考）,70+
252,ceremony,/ˈserəməni/,,n. 仪式；典礼,Our school will hold a graduation ceremony for the ninth graders in June.（2021 上海中考）,70+
253,degree,/dɪˈɡriː/,,n. 学位；度数,He got a high degree in English after studying abroad for many years.（2024 上海中考模拟）,70+
254,electronic,/ɪˌlekˈtrɒnɪk/,,adj. 电子的,This kind of electronic product sells very well in the shopping mall.（2022 上海中考）,70+
255,firm,/fɜːm/,,adj. 结实的；牢固的n. 公司,He runs a small firm with his friends in the downtown area of Shanghai.（2024 上海中考模拟）,70+
256,grade,/ɡreɪd/,,n. 年级；等级,She got a good grade in the English exam and was very happy about it.（2021 上海中考）,70+
257,inform,/ɪnˈfɔːm/,,v. 通知；告诉,Please inform me of the time of the meeting as soon as possible.（2022 上海中考）,70+
258,lively,/ˈlaɪvli/,,adj. 生动的,The little girl has a lively personality and everyone likes her very much.（2023 上海中考）,70+
259,mean,/miːn/,,v. 意指；打算adj. 吝啬的,What does this English word mean in Chinese? Can you tell me?（2024 上海中考）,70+
260,opinion,/əˈpɪnjən/,,n. 观点,Everyone has the right to express his or her own opinion freely.（2021 上海中考）,70+
261,passive,/ˈpæsɪv/,,adj. 被动的；消极的,He is a passive person and never takes the initiative to do anything.（2024 上海中考模拟）,70+
262,record,/ˈrekɔːd/,,v. 记录；记载n. 唱片；记录,Please record the important points when you listen to the teacher in class.（2022 上海中考）,70+
263,screen,/skriːn/,,n. 屏幕,We can see a movie on the big screen in the cinema on weekends.（2023 上海中考）,70+
264,terror,/ˈterə(r)/,,n. 恐怖,People felt great terror when the big earthquake happened last year.（2024 上海中考模拟）,70+
265,unwilling,/ʌnˈwɪlɪŋ/,,adj. 不愿意的,He is unwilling to go to school early because he likes to sleep late in the morning.（2024 上海中考模拟）,70+
266,virtue,/ˈvɜːtʃuː/,,n. 美德；优点,Honesty is a good virtue that everyone should have in life.（2023 上海中考）,70+
267,wherever,/weərˈevə(r)/,,pron.无论在哪里,You can go wherever you like during the summer vacation with your parents.（2024 上海中考）,70+
268,accessible,/əkˈsesəb(ə)l/,,adj. 可接近的,"This park is accessible to all people, including the old and the disabled.（2024 上海中考模拟）",70+
269,bid,/bɪd/,,n.&v. 出价；努力争取,He made a bid for the old painting in the auction yesterday.（2024 上海中考模拟）,70+
270,chain,/tʃeɪn/,,n. 链条；连锁店v. 束缚,A long chain of mountains runs through the western part of the country.（2023 上海中考模拟）,70+
271,delay,/dɪˈleɪ/,,v. 推迟；延误；耽搁,We had to delay the sports meeting because of the bad weather.（2021 上海中考）,70+
272,elegant,/ˈelɪɡənt/,,adj. 优雅的；精致的,She is an elegant woman who always speaks and acts gently.（2022 上海中考模拟）,70+
273,flame,/fleɪm/,,n. 火焰,The flame of the candle danced in the wind on the table.（2024 上海中考模拟）,70+
274,graduate,/ˈɡrædʒuət/,,v. 毕业n. 毕业生,He will graduate from junior high school and go to high school next year.（2021 上海中考）,70+
275,injure,/ˈɪndʒə(r)/,,v. 使受伤；伤害,He fell off his bike and injured his leg on his way to school.（2023 上海中考）,70+
276,load,/ləʊd/,,n. 担子；负担v. 装载,The truck has a heavy load of goods and drives very slowly on the road.（2024 上海中考模拟）,70+
277,measure,/ˈmeʒə(r)/,,n. 尺寸；措施v. 测量,We need to measure the length of the desk with a ruler in the math class.（2022 上海中考）,70+
278,oppose,/əˈpəʊz/,,v. 反对；反抗,Many people oppose the plan to build a factory near the community.（2024 上海中考模拟）,70+
279,passport,/ˈpɑːspɔːt/,,n. 护照,You need to take your passport when you go abroad to travel or study.（2021 上海中考）,70+
280,recover,/rɪˈkʌvə(r)/,,v. 恢复；痊愈,He is trying to recover from his illness after staying in hospital for a week.（2023 上海中考）,70+
281,search,/sɜːtʃ/,,n. & v. 搜查；寻找,We need to search for the missing key in the room carefully.（2022 上海中考）,70+
282,theatre,/ˈθɪətə(r)/,,n. 剧院,We went to the theatre to watch a wonderful play last weekend.（2024 上海中考）,70+
283,upset,/ˌʌpˈset/,,adj. 心烦的；不安的,He was upset because he failed to pass the English exam this time.（2021 上海中考）,70+
284,virus,/ˈvaɪrəs/,,n. 病毒,This kind of virus is very dangerous and we should keep away from it.（2023 上海中考）,70+
285,whether,/ˈweðə(r)/,,conj. 是否,I don't know whether he will come to the party or not this evening.（2022 上海中考）,70+
286,accommodation,/əˌkɒməˈdeɪʃ(ə)n/,,n. 住宿；,We need to book accommodation before we go to travel in another city.（2024 上海中考模拟）,70+
287,biochemistry,/ˌbaɪəʊˈkemɪstri/,,n. 生物化学,He is learning biochemistry at university and hopes to be a scientist.（2024 上海中考模拟）,70+
288,challenge,/ˈtʃælɪndʒ/,,n.&v. 挑战,We need to face the challenge bravely when we meet it in our study.（2021 上海中考）,70+
289,delight,/dɪˈlaɪt/,,v. 使高兴n. 快乐,We all felt great delight when we won the basketball match yesterday.（2023 上海中考）,70+
290,embarrass,/ɪmˈbærəs/,,v. 使窘迫,He felt embarrassed when he made a mistake in the English speech.（2022 上海中考）,70+
291,flat,/flæt/,,adj. 平坦的；扁平的n. 公寓,We live in a small flat on the tenth floor of this building.（2024 上海中考）,70+
292,grain,/ɡreɪn/,,n. 谷物,Farmers grow a lot of grain in the field to feed the people.（2021 上海中考模拟）,70+
293,innocent,/ˈɪnəs(ə)nt/,,adj.清白的;天真的,The little boy is innocent and he never tells a lie to anyone.（2023 上海中考模拟）,70+
294,local,/ˈləʊk(ə)l/,,adj. 本地的,The local people are very friendly to the tourists who come to Shanghai.（2022 上海中考）,70+
295,medal,/ˈmedl/,,n. 奖牌,He won a gold medal in the sports competition of our city.（2024 上海中考）,70+
296,opposite,/ˈɒpəzɪt/,,adj. 对面的；相反的,There is a big tree on the opposite side of the street from our school.（2021 上海中考）,70+
297,patent,/ˈpæt(ə)nt/,,n. 专利权,He applied for a patent for his new invention last year.（2024 上海中考模拟）,70+
298,recycle,/ˌriːˈsaɪkl/,,v. 循环；再利用,We should recycle the waste paper and plastic to protect the environment.（2022 上海中考）,70+
299,research,/rɪˈsɜːtʃ/,,n. & v. 调查，研究,We did a lot of research on the plant in our biology class this term.（2023 上海中考）,70+
300,theft,/θeft/,,n. 偷；行窃,The theft of the bike in the community was solved by the police soon.（2024 上海中考模拟）,70+
301,upwards,/ˈʌpwədz/,,adv. 向上的（地）,The smoke from the fire rose upwards into the clear blue sky.（2024 上海中考模拟）,60+
302,whichever,/wɪtʃˈevə(r)/,,pron. 无论哪个,You can choose whichever book you like best from my bookshelf.（2022 上海中考）,60+
303,accompany,/əˈkʌmpəni/,,v. 陪伴,My mother will accompany me to the hospital to see the doctor this afternoon.（2023 上海中考）,60+
304,biography,/baɪˈɒɡrəfi/,,n. 传记,I read a biography of a famous writer in my spare time last month.（2024 上海中考模拟）,60+
305,challenging,/ˈtʃælɪndʒɪŋ/,,adj. 有挑战性的,It is a challenging task for us to finish the project in three days.（2024 上海中考）,60+
306,demand,/dɪˈmɑːnd/,,n. & v. 要求；需要,The job will demand a lot of time and hard work from you every day.（2024 上海中考模拟）,60+
307,emergency,/ɪˈmɜːdʒənsi/,,n. 紧急情况,We should call 120 in an emergency when someone is badly hurt.（2021 上海中考）,60+
308,flexible,/ˈfleksəb(ə)l/,,adj.灵活的;有弹性的,You need to be flexible when you deal with different kinds of problems.（2023 上海中考）,60+
309,grasp,/ɡrɑːsp/,,v. 抓住;抓紧;领会,It is important to grasp the main idea of the passage in English reading.（2022 上海中考）,60+
310,inspect,/ɪnˈspekt/,,v. 检查；视察,The teacher will inspect our classroom hygiene every Monday morning.（2024 上海中考模拟）,60+
311,lonely,/ˈləʊnli/,,adj. 孤独的；偏僻的,The old man lives alone in the house and never feels lonely at all.（2023 上海中考）,60+
312,medium,/ˈmiːdiəm,,/adj. 中等的n. 新闻；媒介,I like to watch movies in the medium size screen at the cinema.（2024 上海中考模拟）,60+
313,optimistic,/ˌɒptɪˈmɪstɪk/,,adj. 乐观的,We should be optimistic about life even when we face great difficulties.（2024 上海中考）,60+
314,patience,/ˈpeɪʃ(ə)ns/,,n. 耐心,Patience is very important when you are learning a new language.（2021 上海中考）,60+
315,refer,/rɪˈfɜː(r)/,,v. 查阅；参考；谈到；提及,You can refer to the dictionary when you meet new words in reading.（2022 上海中考）,60+
316,security,/sɪˈkjʊərəti/,,n. 安全；保障,The security of the students is the most important thing for every school.（2023 上海中考）,60+
317,theme,/θiːm/,,n. 主题,The theme of our school art festival this year is about environmental protection.（2024 上海中考）,60+
318,urban,/ˈɜːbən/,,adj. 城市的,More and more people move to urban areas to find better jobs these years.（2024 上海中考模拟）,60+
319,vital,/ˈvaɪt(ə)l/,,adj.至关重要的;,Fresh air and clean water are vital for all living things on the earth.（2021 上海中考）,60+
320,whisper,/ˈwɪspə(r)/,,v. 低声地说,She leaned over to whisper a secret in her best friend's ear.（2024 上海中考模拟）,60+
321,accomplish,/əˈkʌmplɪʃ/,,vt.完成，实现,We can accomplish our goal if we work hard together with our classmates.（2022 上海中考）,60+
322,blame,/bleɪm/,,v. 责备；归咎于,Don't blame your friends for the mistake; it's also your fault a little.（2023 上海中考）,60+
323,champion,/ˈtʃæmpiən/,,n. 冠军,He became the champion of the 100-metre race in our school sports meeting.（2024 上海中考）,60+
324,deliver,/dɪˈlɪvə(r)/,,v. 运送；分娩,The postman will deliver the letters and parcels to every family every day.（2021 上海中考）,60+
325,grateful,/ˈɡreɪtf(ə)l/,,adj. 感激的,I am grateful to my teachers for their help and care in my study.（2022 上海中考）,60+
326,inspire,/ɪnˈspaɪə(r)/,,v. 鼓舞；鼓励,His great story can inspire us to face the difficulties bravely in life.（2023 上海中考）,60+
327,employ,/ɪmˈplɔɪ/,,v. 雇佣；利用；忙于；从事,The factory will employ more workers to finish the work on time.（2024 上海中考模拟）,60+
328,customs,/ˈkʌstəmz/,,n. 海关,You need to go through customs when you travel to another country.（2021 上海中考）,60+
329,flesh,/fleʃ/,,n. 肉,The knife cut his hand and the blood came out from his flesh.（2024 上海中考模拟）,60+
330,awkward,/ˈɔːkwəd/,,adj.尴尬的;难对付的,He felt awkward when he didn't know how to answer the teacher's question.（2022 上海中考）,60+
331,loose,/luːs/,,adj. 松的；无束缚的v. 松开,The rope is too loose and we need to tie it more tightly for safety.（2024 上海中考模拟）,60+
332,pause,/pɔːz/,,v. 暂停,Please pause for a minute and let me tell you an important thing.（2023 上海中考）,60+
333,memory,/ˈmeməri/,,n. 记忆力,The old photo brought back a sweet memory of my childhood to me.（2024 上海中考）,60+
334,organize,/ˈɔːɡənaɪz/,,v. 组织,We need to organize a party to celebrate our teacher's birthday next week.（2021 上海中考）,60+
335,reference,/ˈrefrəns/,,n.提到;参考;推荐人,You can find more information in the reference book on the shelf.（2022 上海中考）,60+
336,seize,/siːz/,,v. 抓住,We should seize the chance to learn English well when we are young.（2023 上海中考）,60+
337,theory,/ˈθɪəri/,,n. 理论,Our science teacher taught us a new theory in the physics class yesterday.（2024 上海中考模拟）,60+
338,urge,/ɜːdʒ/,,n.&v.催促;激励,Our teacher will urge us to finish our homework on time every day.（2024 上海中考模拟）,60+
339,system,/ˈsɪstəm/,,n. 系统；体制,This new computer system can help us work more efficiently than before.（2021 上海中考）,60+
340,pyramid,/ˈpɪrəmɪd/,,n. 金字塔,We saw a big pyramid in the picture about the ancient Egypt in class.（2022 上海中考）,60+
341,vivid,/ˈvɪvɪd/,,adj. 生动的；逼真的,The writer uses vivid words to describe the beautiful scenery in the book.（2023 上海中考）,60+
342,widespread,/ˈwaɪdspred/,,adj. 流传很广的,The bad news spread widespread in the small town in a very short time.（2024 上海中考模拟）,60+
343,accountant,/əˈkaʊntənt/,,n. 会计,Her aunt works as an accountant in a big company in Shanghai.（2024 上海中考模拟）,60+
344,block,/blɒk/,,n. 大块； v. 阻塞；阻挡,A big stone can block the way of the small river in the mountain.（2021 上海中考模拟）,60+
345,channel,/ˈtʃæn(ə)l/,,n. 海峡；渠道；频道,We can watch different kinds of shows on the entertainment channel on TV.（2022 上海中考）,60+
346,departure,/dɪˈpɑːtʃə(r)/,,n. 离开；启程,We arrived at the airport early to wait for the departure of the plane.（2023 上海中考）,60+
347,encourage,/ɪnˈkʌrɪdʒ/,,v. 鼓励,Our parents always encourage us to try new things in our daily life.（2024 上海中考）,60+
348,float,/fləʊt/,,v. 漂浮,Some colorful balloons float in the sky at the school opening ceremony.（2021 上海中考）,60+
349,average,/ˈævərɪdʒ/,,adj.平均的,His average score in all the subjects is very high in our class.（2022 上海中考）,60+
350,custom,/ˈkʌstəm/,,n. 风俗；习惯,It is a traditional custom to eat mooncakes on the Mid-Autumn Festival.（2023 上海中考）,60+
351,gravity,/ˈɡrævəti/,,n. 地球引力,Newton discovered the law of gravity when he saw an apple fall down.（2024 上海中考）,60+
352,puzzle,/ˈpʌzl/,,v. 使困惑n. 谜,This math problem is a puzzle for me and I can't work it out alone.（2024 上海中考模拟）,60+
353,instant,/ˈɪnstənt/,,adj. 立刻的；紧急的,He felt an instant joy when he heard the good news from his mother.（2021 上海中考）,60+
354,seldom,/ˈseldəm/,,adv. 很少,She seldom eats junk food because she wants to keep healthy every day.（2022 上海中考）,60+
355,mend,/mend/,,v. 修补；恢复健康,My father can mend the broken bike for me in his spare time at home.（2023 上海中考）,60+
356,origin,/ˈɒrɪdʒɪn/,,n. 起源；出身,We learned about the origin of the Spring Festival in our Chinese class.（2024 上海中考模拟）,60+
357,luggage,/ˈlʌɡɪdʒ/,,n. 行李,He has a lot of luggage to take with him when he goes abroad to study.（2021 上海中考）,60+
358,reflect,/rɪˈflekt/,,v. 反映；反射；反省,The mirror can reflect our images when we stand in front of it.（2022 上海中考）,60+
359,symbol,/ˈsɪmb(ə)l/,,n. 符号；象征,The red rose is a symbol of love in many countries around the world.（2023 上海中考）,60+
360,pavement,/ˈpeɪvmənt/,,n. 人行道,We walk on the clean pavement when we go to school every morning.（2024 上海中考模拟）,60+
361,therefore,/ˈðeəfɔː(r)/,,adv. 因此,"He didn't study hard for the exam; therefore, he failed to pass it.（2024 上海中考）",60+
362,accumulate,/əˈkjuːmjəleɪt,,/v. 积累,We can accumulate more knowledge by reading books every day.（2021 上海中考）,60+
363,urgent,/ˈɜːdʒənt/,,adj. 紧急的,We need to deal with this urgent problem before it becomes worse.（2022 上海中考）,60+
364,character,/ˈkærəktə(r)/,,n. 性格；字符,He is a person with a kind character and always helps people in need.（2023 上海中考）,60+
365,willing,/ˈwɪlɪŋ/,,adj. 乐意的,She is willing to help her classmates with their English study after school.（2024 上海中考）,60+
366,vocabulary,/vəˈkæbjələri,,/n. 词汇；词汇表,We need to enlarge our vocabulary to learn English well.（2021 上海中考）,60+
367,bond,/bɒnd/,,n. 契约；纽带,The bond between the mother and her child is always very strong.（2024 上海中考模拟）,60+
368,depend,/dɪˈpend/,,v. 依靠；依赖,We can't depend on our parents all the time; we need to be independent.（2022 上海中考）,60+
369,curious,/ˈkjʊəriəs/,,adj. 好奇的,Children are always curious about all the new things around them.（2023 上海中考）,60+
370,available,/əˈveɪləb(ə)l/,,adj. 可用的，有,These books are available for all the students in our school library.（2024 上海中考）,60+
371,pure,/pjʊə(r)/,,adj. 纯净的,The water in the small lake is very pure and we can see the fish clearly.（2024 上海中考模拟）,60+
372,energetic,/ˌenəˈdʒetɪk/,,adj. 精力充沛的,He is an energetic boy and always plays sports after school.（2021 上海中考）,60+
373,fluently,/ˈfluːəntli/,,adv. 流利地；流畅地,She can speak English fluently after practicing it for many years.（2022 上海中考）,60+
374,greedy,/ˈɡriːdi/,,adj. 贪婪的,Don't be greedy for more toys; you already have a lot at home.（2024 上海中考模拟）,60+
375,instruction,/ɪnˈstrʌkʃ(ə)n/,,n.命令;教导;说明,You must follow the teacher's instruction when you do the experiment.（2023 上海中考）,60+
376,otherwise,/ˈʌðəwaɪz/,,adv. 否则；,"You should study hard; otherwise, you will fall behind your classmates.（2024 上海中考）",60+
377,refresh,/rɪˈfreʃ/,,v. （使）精神振作,A cup of tea can refresh you when you feel tired in the afternoon.（2021 上海中考）,60+
378,mental,/ˈmentl/,,adj. 脑力的,We need to keep a healthy mental state when we face study pressure.（2023 上海中考）,60+
379,percent,/pəˈsent/,,adv. 百分之……,Sixty percent of the students in our class like to read story books.（2022 上海中考）,60+
380,thirst,/θɜːst/,,n. & v. 口渴；渴望,We all feel a great thirst after playing sports for a long time in the sun.（2024 上海中考模拟）,60+
381,volcano,/vɒlˈkeɪnəʊ/,,n. 火山,The volcano erupted suddenly and many people had to leave their homes.（2024 上海中考模拟）,60+
382,wipe,/waɪp/,,v. 擦；抹,Please wipe the blackboard clean before our English class starts.（2021 上海中考）,60+
383,accustomed,/əˈkʌstəmd/,,adj.习惯的,He is accustomed to getting up early and doing exercise every morning.（2022 上海中考）,60+
384,boom,/buːm,,/v. 繁荣；轰鸣；激增n. 隆隆声；(营业等的)激增；(经济等的)繁荣,The city is developing with a boom and becomes more and more modern.（2024 上海中考模拟）,60+
385,charge,/tʃɑːdʒ/,,v. 要价；控告；充电,It is our duty to charge for the protection of the environment.（2024 上海中考模拟）,60+
386,describe,/dɪˈskraɪb/,,v. 描写；描述,Can you describe your new school to your grandparents in detail?（2023 上海中考）,60+
387,engineer,/ˌendʒɪˈnɪə(r)/,,n. 工程师,His father works as an engineer in a big construction company.（2021 上海中考）,60+
388,focus,/ˈfəʊkəs/,,n.&v.焦点；中心,You need to focus your attention on your study in the classroom.（2022 上海中考）,60+
389,guarantee,/ˌɡærənˈtiː/,,n.&v. 保证；担保,The shop can guarantee the quality of all the products it sells.（2023 上海中考）,60+
390,instrument,/ˈɪnstrəmənt/,,n. 仪器；乐器,She can play many musical instruments like the piano and the guitar.（2024 上海中考）,60+
391,mention,/ˈmenʃn/,,v. 谈到；提及,Don't mention this thing again; it makes her very sad every time.（2021 上海中考）,60+
392,perform,/pəˈfɔːm/,,v. 表演；表现；执行,He will perform a song at the school art festival next month.（2022 上海中考）,60+
393,culture,/ˈkʌltʃə(r)/,,n. 文化,We should learn about different kinds of culture from all over the world.（2023 上海中考）,60+
394,outcome,/ˈaʊtkʌm/,,n. 结果,We are all waiting for the outcome of the English competition nervously.（2024 上海中考）,60+
395,voluntary,/ˈvɒləntri/,,adj. 志愿的；主动的,Many students take part in voluntary work in the community on weekends.（2021 上海中考）,60+
396,select,/sɪˈlekt/,,v. 挑；选,You can select one book from these to read for your after-school task.（2022 上海中考）,60+
397,thorough,/ˈθʌrə/,,adj. 彻底的,We need to do a thorough cleaning of our classroom every Friday.（2024 上海中考模拟）,60+
398,purchase,/ˈpɜːtʃəs/,,v. 购买,We can purchase books online at a lower price than in the bookstore.（2023 上海中考）,60+
399,automatic,/ˌɔːtəˈmætɪk/,,adj. 自动的；习惯,This machine has an automatic system and can work by itself.（2024 上海中考模拟）,60+
400,sword,/sɔːd/,,n. 剑；刀,The knight held a sharp sword in his hand in the ancient story.（2024 上海中考模拟）,60+
401,achievement,/əˈtʃiːvmənt,,/n. 成就,His great achievement in study makes his parents very proud of him.（2024 上海中考）,60+
402,botany,/ˈbɒtəni/,,n. 植物；植物学,We learned about different plants in the botany class at school.（2024 上海中考模拟）,60+
403,chapter,/ˈtʃæptə(r)/,,n. 章；篇；回,Please read the first chapter of the book and finish the exercise.（2022 上海中考）,60+
404,desert,/ˈdezət/,,n. 沙漠v. 舍弃,Very few plants can survive in the dry desert for a long time.（2023 上海中考）,60+
405,enlarge,/ɪnˈlɑːdʒ/,,v. 扩大；增大,We need to enlarge the photo to see the details more clearly.（2024 上海中考模拟）,60+
406,refuse,/rɪˈfjuːz/,,v. 拒绝,You have the right to refuse the unreasonable request from others.（2021 上海中考）,60+
407,authority,/ɔːˈθɒrəti/,,n. 权威；当局,The local authority will take action to protect the local environment.（2024 上海中考模拟）,60+
408,cruel,/ˈkruːəl/,,adj. 残酷的；残忍的,It is cruel to hurt the small animals that are weak and lovely.（2023 上海中考）,60+
409,wisdom,/ˈwɪzdəm/,,n. 智慧；学问,We can learn a lot of wisdom from the old stories our grandparents tell.（2024 上海中考）,60+
410,forbid,/fəˈbɪd/,,v. 禁止；不许,Schools forbid students to bring mobile phones to class every day.（2021 上海中考）,50+
411,guidance,/ˈɡaɪdns/,,n. 指导；引导,We need the teacher's guidance to solve the difficult math problem.（2022 上海中考）,50+
412,insurance,/ɪnˈʃʊərəns/,,n. 保险；保险费,His father bought a new insurance for the whole family last year.（2024 上海中考模拟）,50+
413,mercy,/ˈmɜːsi/,,n. 仁慈；怜悯,We should show mercy to the people who are in trouble around us.（2024 上海中考模拟）,50+
414,outgoing,/ˈaʊtɡəʊɪŋ/,,adj. 外向的，离开的,She is an outgoing girl and makes friends easily at school.（2023 上海中考）,50+
415,performance,/pəˈfɔːməns,,/n. 履行；表现；表演,His wonderful performance won warm applause from all the students.（2024 上海中考）,50+
416,regard,/rɪˈɡɑːd/,,v. 认为；看作,We should regard our mistakes as a chance to learn and improve.（2021 上海中考）,50+
417,senior,/ˈsiːniə(r)/,,adj.年长的;资格较老的,He is a senior student and will graduate from high school next year.（2022 上海中考）,50+
418,throughout,/θruːˈaʊt/,,adv. 遍及,The news about the sports meeting spread throughout the whole school.（2023 上海中考）,50+
419,volunteer,/ˌvɒlənˈtɪə(r)/,,n. 志愿者v. 自愿（做）,I want to be a volunteer to help the old people in the community.（2021 上海中考）,50+
420,within,/wɪˈðɪn/,,prep. 在……之内,We must finish the homework within an hour after school today.（2022 上海中考）,50+
421,switch,/swɪtʃ/,,n. 开关v. 转换,Please switch off the light when you leave the classroom for safety.（2023 上海中考）,50+
422,acknowledge,/əkˈnɒlɪdʒ,,/v. 承认；致谢；鸣谢,We should acknowledge the help that our teachers and friends give us.（2024 上海中考模拟）,50+
423,bounce,/baʊns/,,v.使弹起n.弹跳跳动,The ball hit the wall and bounced back to the little boy's hand.（2024 上海中考模拟）,50+
424,cheat,/tʃiːt/,,v. 欺骗,It is wrong to cheat in the exam; we should be honest all the time.（2021 上海中考）,50+
425,design,/dɪˈzaɪn/,,n. & v. 设计,She wants to design a new dress for her mother's birthday.（2024 上海中考）,50+
426,enter,/ˈentə(r)/,,v. 进入,All the students must enter the school gate with their student cards.（2022 上海中考）,50+
427,force,/fɔːs/,,v. 强迫n. 武力；影响力,Don't force others to do the things they don't like to do at all.（2023 上海中考）,50+
428,audience,/ˈɔːdiəns/,,n. 听众；观众,The audience clapped their hands loudly for the singer's good song.（2024 上海中考）,50+
429,crowd,/kraʊd/,,n. 人群；群众v. 拥挤,A big crowd of people gathered at the park to watch the fireworks.（2021 上海中考模拟）,50+
430,guilty,/ˈɡɪlti/,,adj. 有罪的；内疚的,He felt guilty because he told a lie to his mother yesterday.（2022 上海中考）,50+
431,intelligence,/ɪnˈtelɪdʒəns,,/n. 智力；情报,He is a boy with great intelligence and learns everything very quickly.（2023 上海中考）,50+
432,merely,/ˈmɪəli/,,adv. 仅仅,She is merely a child and doesn't understand the difficult thing at all.（2024 上海中考模拟）,50+
433,outline,/ˈaʊtlaɪn/,,n. 轮廓；提纲,Please make an outline before you start to write the English composition.（2024 上海中考模拟）,50+
434,period,/ˈpɪəriəd/,,n. 期间；句号,We had a good time during the summer holiday period this year.（2021 上海中考）,50+
435,regardless,/rɪˈɡɑːdləs/,,adv. 不管；不顾,We will keep working hard regardless of the difficulties we face.（2022 上海中考）,50+
436,sense,/sens/,,n. 感官；感觉,It makes sense to get up early and do some exercise every morning.（2023 上海中考）,50+
437,throw,/θrəʊ/,,v. 投；掷；扔,Don't throw the rubbish everywhere; we should keep the park clean.（2021 上海中考）,50+
438,voyage,/ˈvɔɪɪdʒ/,,n. 航行；航海,They went on a long voyage across the sea to another country last year.（2024 上海中考模拟）,50+
439,witness,/ˈwɪtnəs/,,v. 目睹n. 目击者,I was lucky to witness the beautiful rainbow after the light rain.（2024 上海中考模拟）,50+
440,punish,/ˈpʌnɪʃ/,,v. 惩罚,Teachers will punish the students who break the school rules on purpose.（2022 上海中考）,50+
441,swift,/swɪft/,,adj. 迅速的,He made a swift decision and solved the problem in a short time.（2023 上海中考）,50+
442,acquire,/əˈkwaɪə(r)/,,vt.取得，获得；学到,We can acquire more knowledge by reading different kinds of books.（2024 上海中考）,50+
443,bound,/baʊnd/,,v. 跳跃adj. 受约束的,The small village is bound to the big city by a new road now.（2024 上海中考模拟）,50+
444,check,/tʃek/,,v. 检查；核对n. 支票,Please check your homework carefully before you hand it in to the teacher.（2021 上海中考）,50+
445,desire,/dɪˈzaɪə(r)/,,n.&v. 欲望;请求;愿望,She has a strong desire to learn English well and go abroad one day.（2022 上海中考）,50+
446,entertainment,/ˌentəˈteɪnmənt/,,n.娱乐；招待；款待,We can find a lot of entertainment in the park on the weekend.（2023 上海中考模拟）,50+
